itemCollection_faction_ClanNovaCat,,,
mechdef_visionquest_VQ-1NC,Mech,1,10
mechdef_visionquest_VQ-1S,Mech,1,10
mechdef_visionquest_VQ-2NC,Mech,1,10
mechdef_visionquest_VQ-3NC,Mech,1,10
mechdef_NovaCat_NCT-Prime,Mech,1,10
mechdef_NovaCat_NCT-A,Mech,1,10
mechdef_NovaCat_NCT-B,Mech,1,10
mechdef_NovaCat_NCT-C,Mech,1,10
mechdef_NovaCat_NCT-D,Mech,1,10
Weapon_Laser_SmallLaserER_CLAN,Weapon,0,10
Weapon_Laser_MediumLaserER_CLAN,Weapon,0,10
Weapon_Laser_LargeLaserER_CLAN,Weapon,0,10
Weapon_LRM_LRM5_CLAN,Weapon,0,10
Weapon_LRM_LRM10_CLAN,Weapon,0,10
Weapon_SRM_SRM4_CLAN,Weapon,0,10
Weapon_SRM_SRM2_CLAN,Weapon,0,10
Weapon_MachineGun_MachineGun_CLAN,Weapon,0,10
Weapon_Autocannon_AC2_CLAN,Weapon,0,10
Weapon_Autocannon_AC2_LBX_CLAN,Weapon,0,10
Weapon_Autocannon_AC5_CLAN,Weapon,0,10
Weapon_Autocannon_AC5_LBX_CLAN,Weapon,0,10
Weapon_PPC_PPCER_CLAN,Weapon,0,10
